Scaffold,Length,NewChr,NewStart,NewEnd,NewOrientation,OldChr,OldStart,OldEnd
59,1115231,10,16920057,18035287,forward,10,14542210,15657440
80,591236,11,1,591236,forward,Un,19602079,20193314
167,154914,11,592237,747150,unknown,Un,34987570,35142483
75,620152,11,748151,1368302,forward,11,1,620152
49,1583387,11,1369303,2952689,reverse,11,621153,2204539
11,12946374,11,2953690,15900063,forward,11,2205540,15151913
151,191377,11,15901064,16092440,forward,Un,32355919,32547295
79,583761,11,16093441,16677201,reverse,11,15152914,15736674
103,394347,11,16678202,17072548,reverse,11,15737675,16132021
100,429279,11,17073549,17502827,reverse,11,16133022,16562300
190,142752,11,17503828,17646579,unknown,11,16563301,16706052
114,369292,12,1,369292,forward,Un,25991229,26360520
139,222911,12,370293,593203,reverse,Un,30594894,30817804
195,147321,12,594204,741524,reverse,Un,38233625,38380945
180,137802,12,742525,880326,unknown,Un,36787135,36924936
158,180396,12,881327,1061722,forward,12,1,180396
62,1064986,12,1062723,2127708,forward,12,181397,1246382
99,420648,12,2128709,2549356,reverse,Un,23755801,24176448
68,869172,12,2550357,3419528,forward,Un,16636734,17505905
64,961029,12,3420529,4381557,forward,12,1247383,2208411
6,14338203,12,4382558,18720760,reverse,12,2209412,16547614
70,740904,12,18721761,19462664,reverse,12,16548615,17289518
60,1110549,12,19463665,20574213,reverse,12,17290519,18401067
148,196909,12,20575214,20772122,forward,Un,31778178,31975086
51,1474264,13,1,1474264,reverse,13,1,1474264
52,1348893,13,1475265,2824157,forward,13,1475265,2824157
4,15656014,13,2825158,18481171,forward,13,2825158,18481171
57,1168419,13,18482172,19650590,reverse,13,18482172,19650590
220,120098,13,19651591,19771688,unknown,Un,40784669,40904766
107,418911,13,19772689,20191599,reverse,13,19651591,20070501
200,101275,13,20192600,20293874,unknown,Un,38806662,38907936
150,190481,13,20294875,20485355,reverse,Un,32164438,32354918
133,266407,13,20486356,20752762,unknown,Un,29571537,29837943
176,142540,14,1,142540,unknown,Un,36200374,36342913
116,345721,14,143541,489261,reverse,14,1,345721
197,115429,14,490262,605690,forward,Un,38481573,38597001
168,154478,14,606691,761168,reverse,Un,35143484,35297961
12,12736214,14,762169,13498382,forward,14,346722,13082935
40,2162526,14,13499383,15661908,reverse,14,13083936,15246461
88,508853,14,15662909,16171761,reverse,Un,20758748,21267600
110,341541,15,1,341541,reverse,15,1,341541
159,166851,15,342542,509392,forward,Un,33535842,33702692
184,147696,15,510393,658088,reverse,Un,37197910,37345605
72,727327,15,659089,1386415,reverse,15,342542,1069868
10,13308967,15,1387416,14696382,forward,15,1070869,14379835
128,251254,15,14697383,14948636,reverse,Un,28292364,28543617
45,1809037,15,14949637,16758673,reverse,15,14380836,16189872
84,563433,15,16759674,17323106,forward,Un,20194315,20757747
26,5281402,16,1,5281402,forward,16,1,5281402
14,10886345,16,5282403,16168747,forward,16,5282403,16168747
44,1946041,16,16169748,18115788,reverse,16,16169748,18115788
115,344019,16,18116789,18460807,reverse,Un,26361521,26705539
181,135462,16,18461808,18597269,forward,Un,36925937,37061398
69,813576,16,18598270,19411845,reverse,Un,17506906,18320481
202,109749,16,19412846,19522594,reverse,Un,39052540,39162288
89,543734,17,1,543734,forward,Un,21268601,21812334
109,409613,17,544735,954347,reverse,17,1,409613
136,230897,17,955348,1186244,reverse,17,410614,641510
191,123367,17,1187245,1310611,unknown,17,642511,765877
174,168336,17,1311612,1479947,forward,17,766878,935213
25,5511944,17,1480948,6992891,forward,17,936214,6448157
27,5105261,17,6993892,12099152,reverse,Un,1,5105261
18,8153984,17,12100153,20254136,forward,17,6449158,14603141
29,4822594,18,1,4822594,forward,18,1,4822594
21,7404426,18,4823595,12228020,forward,18,4823595,12228020
32,3761673,18,12229021,15990693,forward,18,12229021,15990693
85,529649,19,1,529649,forward,19,1,529649
163,161911,19,530650,692560,reverse,Un,34198026,34359936
34,3292604,19,693561,3986164,forward,19,530650,3823253
224,208153,19,3987165,4195317,unknown,Un,41062695,41270847
3,16416407,19,4196318,20612724,reverse,19,3824254,20240660
157,171176,20,1,171176,forward,Un,33363666,33534841
137,249745,20,172177,421921,forward,Un,30344149,30593893
104,415733,20,422922,838654,forward,20,1,415733
170,175369,20,839655,1015023,forward,20,416734,592102
122,304788,20,1016024,1320811,forward,Un,27694699,27999486
143,240039,20,1321812,1561850,forward,20,593103,833141
2,17116695,20,1562851,18679545,reverse,20,834142,17950836
46,1780235,20,18680546,20460780,forward,20,17951837,19732071
94,517387,21,1,517387,unknown,Un,22323409,22840795
95,500428,21,518388,1018815,forward,Un,22841796,23342223
134,257138,21,1019816,1276953,unknown,Un,29838944,30096081
147,215782,21,1277954,1493735,unknown,Un,31561396,31777177
144,297070,21,1494736,1791805,unknown,21,1,297070
37,2648413,21,1792806,4441218,forward,Un,5106262,7754674
16,9196662,21,4442219,13638880,forward,21,298071,9494732
43,1902836,21,13639881,15542716,forward,21,9495733,11398568
67,893370,21,15543717,16437086,forward,Un,15742364,16635733
127,266767,21,16438087,16704853,forward,21,11399569,11666335
126,290877,21,16705854,16996730,forward,Un,28000487,28291363
146,224531,21,16997731,17222261,reverse,Un,31335865,31560395
182,134511,21,17223262,17357772,reverse,Un,37062399,37196909
145,295500,Un,1,295500,unknown,Un,31039365,31334864
124,291023,Un,296501,587523,unknown,18,15991694,16282716
164,258075,Un,588524,846598,unknown,Un,34360937,34619011
141,219560,Un,847599,1067158,unknown,Un,30818805,31038364
173,209803,Un,1068159,1277961,unknown,Un,35817148,36026950
166,197184,Un,1278962,1476145,unknown,Un,34789386,34986569
155,190672,Un,1477146,1667817,unknown,Un,33000773,33191444
171,186377,Un,1668818,1855194,unknown,Un,35454232,35640608
154,184241,Un,1856195,2040435,unknown,Un,32815532,32999772
162,175067,Un,2041436,2216502,unknown,Un,34021959,34197025
172,174539,Un,2217503,2392041,unknown,Un,35641609,35816147
232,172204,Un,2393042,2565245,unknown,Un,41867532,42039735
160,158084,Un,2566246,2724329,unknown,Un,33703693,33861776
179,156101,Un,2725330,2881430,unknown,Un,36630034,36786134
185,151417,Un,2882431,3033847,unknown,Un,37346606,37498022
192,135576,Un,3034848,3170423,unknown,Un,37876714,38012289
178,135123,Un,3171424,3306546,unknown,Un,36493911,36629033
205,126450,Un,3307547,3433996,unknown,Un,39364832,39491281
226,125417,Un,3434997,3560413,unknown,Un,41363992,41489408
188,121219,Un,3561414,3682632,unknown,Un,37754495,37875713
207,117296,Un,3683633,3800928,unknown,Un,39592841,39710136
194,117285,Un,3801929,3919213,unknown,Un,38115340,38232624
187,115114,Un,3920214,4035327,unknown,Un,37638381,37753494
203,108077,Un,4036328,4144404,unknown,Un,39163289,39271365
193,101050,Un,4145405,4246454,unknown,Un,38013290,38114339
227,99763,Un,4247455,4347217,unknown,Un,41490409,41590171
206,99559,Un,4348218,4447776,unknown,Un,39492282,39591840
196,98627,Un,4448777,4547403,unknown,Un,38381946,38480572
199,97953,Un,4548404,4646356,unknown,Un,38707709,38805661
242,95411,Un,4647357,4742767,unknown,Un,42638668,42734078
321,95125,Un,4743768,4838892,unknown,Un,46876408,46971532
216,94716,Un,4839893,4934608,unknown,Un,40435996,40530711
215,94574,Un,4935609,5030182,unknown,Un,40340422,40434995
254,93935,Un,5031183,5125117,unknown,Un,43455659,43549593
259,93105,Un,5126118,5219222,unknown,Un,43742337,43835441
204,91466,Un,5220223,5311688,unknown,Un,39272366,39363831
225,91144,Un,5312689,5403832,unknown,Un,41271848,41362991
218,89394,Un,5404833,5494226,unknown,Un,40614025,40703418
209,88137,Un,5495227,5583363,unknown,Un,39821486,39909622
214,87744,Un,5584364,5672107,unknown,Un,40251678,40339421
212,85982,Un,5673108,5759089,unknown,Un,40078298,40164279
213,85398,Un,5760090,5845487,unknown,Un,40165280,40250677
210,83983,Un,5846488,5930470,unknown,Un,39910623,39994605
211,81692,Un,5931471,6013162,unknown,Un,39995606,40077297
217,81313,Un,6014163,6095475,unknown,Un,40531712,40613024
223,80968,Un,6096476,6177443,unknown,Un,40980727,41061694
219,79250,Un,6178444,6257693,unknown,Un,40704419,40783668
243,77364,Un,6258694,6336057,unknown,Un,42735079,42812442
264,76560,Un,6337058,6413617,unknown,Un,44059894,44136453
221,73960,Un,6414618,6488577,unknown,Un,40905767,40979726
233,73492,Un,6489578,6563069,unknown,Un,42040736,42114227
250,72636,Un,6564070,6636705,unknown,Un,43209947,43282582
231,71955,Un,6637706,6709660,unknown,Un,41794577,41866531
271,71937,Un,6710661,6782597,unknown,Un,44476221,44548157
265,71712,Un,6783598,6855309,unknown,Un,44137454,44209165
255,70686,Un,6856310,6926995,unknown,Un,43550594,43621279
234,70511,Un,6927996,6998506,unknown,Un,42115228,42185738
278,69444,Un,6999507,7068950,unknown,Un,44821395,44890838
281,69191,Un,7069951,7139141,unknown,Un,44994621,45063811
237,67728,Un,7140142,7207869,unknown,Un,42315881,42383608
228,67660,Un,7208870,7276529,unknown,Un,41591172,41658831
230,67493,Un,7277530,7345022,unknown,Un,41726084,41793576
301,66799,Un,7346023,7412821,unknown,Un,45961252,46028050
240,66213,Un,7413822,7480034,unknown,Un,42510290,42576502
229,65252,Un,7481035,7546286,unknown,Un,41659832,41725083
253,65189,Un,7547287,7612475,unknown,Un,43389470,43454658
318,63963,Un,7613476,7677438,unknown,Un,46725951,46789913
235,63932,Un,7678439,7742370,unknown,Un,42186739,42250670
236,63210,Un,7743371,7806580,unknown,Un,42251671,42314880
290,63144,Un,7807581,7870724,unknown,Un,45447759,45510902
287,62246,Un,7871725,7933970,unknown,Un,45286319,45348564
238,62242,Un,7934971,7997212,unknown,Un,42384609,42446850
342,62103,Un,7998213,8060315,unknown,Un,47804064,47866166
245,61692,Un,8061316,8123007,unknown,Un,42916924,42978615
239,61439,Un,8124008,8185446,unknown,Un,42447851,42509289
311,60562,Un,8186447,8247008,unknown,Un,46400029,46460590
280,60509,Un,8248009,8308517,unknown,Un,44933112,44993620
258,60309,Un,8309518,8369826,unknown,Un,43681028,43741336
241,60165,Un,8370827,8430991,unknown,Un,42577503,42637667
268,59728,Un,8431992,8491719,unknown,Un,44326427,44386154
328,59670,Un,8492720,8552389,unknown,Un,47209679,47269348
339,59037,Un,8553390,8612426,unknown,Un,47663142,47722178
296,58761,Un,8613427,8672187,unknown,Un,45736233,45794993
350,58727,Un,8673188,8731914,unknown,Un,48097868,48156594
249,58497,Un,8732915,8791411,unknown,Un,43150450,43208946
308,58451,Un,8792412,8850862,unknown,Un,46267712,46326162
246,58348,Un,8851863,8910210,unknown,Un,42979616,43037963
267,57760,Un,8911211,8968970,unknown,Un,44267667,44325426
256,57748,Un,8969971,9027718,unknown,Un,43622280,43680027
289,57014,Un,9028719,9085732,unknown,Un,45389745,45446758
334,56813,Un,9086733,9143545,unknown,Un,47425274,47482086
266,56501,Un,9144546,9201046,unknown,Un,44210166,44266666
260,56380,Un,9202047,9258426,unknown,Un,43836442,43892821
272,56244,Un,9259427,9315670,unknown,Un,44549158,44605401
283,56026,Un,9316671,9372696,unknown,Un,45105697,45161722
306,55522,Un,9373697,9429218,unknown,Un,46175505,46231026
248,55145,Un,9430219,9485363,unknown,Un,43094305,43149449
348,54896,Un,9486364,9541259,unknown,Un,48014358,48069253
263,54881,Un,9542260,9597140,unknown,Un,44004013,44058893
261,54348,Un,9598141,9652488,unknown,Un,43893822,43948169
247,54341,Un,9653489,9707829,unknown,Un,43038964,43093304
262,53843,Un,9708830,9762672,unknown,Un,43949170,44003012
300,53692,Un,9763673,9817364,unknown,Un,45906560,45960251
294,53528,Un,9818365,9871892,unknown,Un,45643026,45696553
326,53463,Un,9872893,9926355,unknown,Un,47124039,47177501
323,53451,Un,9927356,9980806,unknown,Un,47006411,47059861
317,53197,Un,9981807,10035003,unknown,Un,46671754,46724950
313,53016,Un,10036004,10089019,unknown,Un,46514490,46567505
251,52946,Un,10090020,10142965,unknown,Un,43283583,43336528
449,52136,Un,10143966,10196101,unknown,Un,50509055,50561190
312,51899,Un,10197102,10249000,unknown,Un,46461591,46513489
476,51862,Un,10250001,10301862,unknown,Un,51044725,51096586
319,51614,Un,10302863,10354476,unknown,Un,46790914,46842527
293,51155,Un,10355477,10406631,unknown,Un,45590871,45642025
352,51043,Un,10407632,10458674,unknown,Un,48185127,48236169
338,50973,Un,10459675,10510647,unknown,Un,47611169,47662141
341,50959,Un,10511648,10562606,unknown,Un,47752105,47803063
252,50941,Un,10563607,10614547,unknown,Un,43337529,43388469
257,50152,Un,10615548,10665699,unknown,21,11667336,11717487
360,48964,Un,10666700,10715663,unknown,Un,48444628,48493591
335,48937,Un,10716664,10765600,unknown,Un,47483087,47532023
387,47752,Un,10766601,10814352,unknown,Un,49159782,49207533
336,47011,Un,10815353,10862363,unknown,Un,47533024,47580034
356,45946,Un,10863364,10909309,unknown,Un,48319619,48365564
557,45232,Un,10910310,10955541,unknown,Un,52437456,52482687
269,44336,Un,10956542,11000877,unknown,Un,44387155,44431490
368,43734,Un,11001878,11045611,unknown,Un,48671136,48714869
274,43351,Un,11046612,11089962,unknown,Un,44649497,44692847
808,43262,Un,11090963,11134224,unknown,Un,55715959,55759220
270,42730,Un,11135225,11177954,unknown,Un,44432491,44475220
273,42095,Un,11178955,11221049,unknown,Un,44606402,44648496
275,42085,Un,11222050,11264134,unknown,Un,44693848,44735932
276,41570,Un,11265135,11306704,unknown,Un,44736933,44778502
285,40908,Un,11307705,11348612,unknown,Un,45203822,45244729
277,40892,Un,11349613,11390504,unknown,Un,44779503,44820394
279,40273,Un,11391505,11431777,unknown,Un,44891839,44932111
284,40099,Un,11432778,11472876,unknown,Un,45162723,45202821
282,39885,Un,11473877,11513761,unknown,Un,45064812,45104696
672,39604,Un,11514762,11554365,unknown,Un,54094585,54134188
286,39589,Un,11555366,11594954,unknown,Un,45245730,45285318
288,39180,Un,11595955,11635134,unknown,Un,45349565,45388744
291,38662,Un,11636135,11674796,unknown,Un,45511903,45550564
302,38490,Un,11675797,11714286,unknown,Un,46029051,46067540
292,38306,Un,11715287,11753592,unknown,Un,45551565,45589870
295,37679,Un,11754593,11792271,unknown,Un,45697554,45735232
310,36267,Un,11793272,11829538,unknown,Un,46362762,46399028
297,36171,Un,11830539,11866709,unknown,Un,45795994,45832164
298,35853,Un,11867710,11903562,unknown,Un,45833165,45869017
299,35542,Un,11904563,11940104,unknown,Un,45870018,45905559
314,34784,Un,11941105,11975888,unknown,Un,46568506,46603289
304,34754,Un,11976889,12011642,unknown,Un,46104087,46138840
307,34685,Un,12012643,12047327,unknown,Un,46232027,46266711
305,34664,Un,12048328,12082991,unknown,Un,46139841,46174504
309,34599,Un,12083992,12118590,unknown,Un,46327163,46361761
303,34546,Un,12119591,12154136,unknown,Un,46068541,46103086
315,33261,Un,12155137,12188397,unknown,Un,46604290,46637550
322,32878,Un,12189398,12222275,unknown,Un,46972533,47005410
316,32203,Un,12223276,12255478,unknown,Un,46638551,46670753
344,32090,Un,12256479,12288568,unknown,Un,47896532,47928621
320,31880,Un,12289569,12321448,unknown,Un,46843528,46875407
332,31115,Un,12322449,12353563,unknown,Un,47362639,47393753
324,30803,Un,12354564,12385366,unknown,Un,47060862,47091664
325,30374,Un,12386367,12416740,unknown,Un,47092665,47123038
327,30177,Un,12417741,12447917,unknown,Un,47178502,47208678
329,29990,Un,12448918,12478907,unknown,Un,47270349,47300338
330,29714,Un,12479908,12509621,unknown,Un,47301339,47331052
331,29586,Un,12510622,12540207,unknown,Un,47332053,47361638
333,29520,Un,12541208,12570727,unknown,Un,47394754,47424273
337,29134,Un,12571728,12600861,unknown,Un,47581035,47610168
353,28864,Un,12601862,12630725,unknown,Un,48237170,48266033
345,28473,Un,12631726,12660198,unknown,Un,47929622,47958094
343,28365,Un,12661199,12689563,unknown,Un,47867167,47895531
340,27926,Un,12690564,12718489,unknown,Un,47723179,47751104
346,26773,Un,12719490,12746262,unknown,Un,47959095,47985867
349,26614,Un,12747263,12773876,unknown,Un,48070254,48096867
351,26532,Un,12774877,12801408,unknown,Un,48157595,48184126
347,26490,Un,12802409,12828898,unknown,Un,47986868,48013357
377,26092,Un,12829899,12855990,unknown,Un,48913652,48939743
394,25577,Un,12856991,12882567,unknown,Un,49346925,49372501
354,25468,Un,12883568,12909035,unknown,Un,48267034,48292501
358,25373,Un,12910036,12935408,unknown,Un,48392572,48417944
398,25355,Un,12936409,12961763,unknown,Un,49441578,49466932
382,25154,Un,12962764,12987917,unknown,Un,49038709,49063862
355,25117,Un,12988918,13014034,unknown,Un,48293502,48318618
357,25007,Un,13015035,13040041,unknown,Un,48366565,48391571
359,24683,Un,13041042,13065724,unknown,Un,48418945,48443627
361,24471,Un,13066725,13091195,unknown,Un,48494592,48519062
362,24363,Un,13092196,13116558,unknown,Un,48520063,48544425
363,24258,Un,13117559,13141816,unknown,Un,48545426,48569683
365,24246,Un,13142817,13167062,unknown,Un,48595857,48620102
371,24210,Un,13168063,13192272,unknown,Un,48765712,48789921
369,24183,Un,13193273,13217455,unknown,Un,48715870,48740052
364,24173,Un,13218456,13242628,unknown,Un,48570684,48594856
366,24037,Un,13243629,13267665,unknown,Un,48621103,48645139
378,24000,Un,13268666,13292665,unknown,Un,48940744,48964743
367,23996,Un,13293666,13317661,unknown,Un,48646140,48670135
372,23965,Un,13318662,13342626,unknown,Un,48790922,48814886
376,23904,Un,13343627,13367530,unknown,Un,48888748,48912651
370,23659,Un,13368531,13392189,unknown,Un,48741053,48764711
379,23572,Un,13393190,13416761,unknown,Un,48965744,48989315
401,23549,Un,13417762,13441310,unknown,Un,49512559,49536107
380,23511,Un,13442311,13465821,unknown,Un,48990316,49013826
373,23462,Un,13466822,13490283,unknown,Un,48815887,48839348
374,23207,Un,13491284,13514490,unknown,Un,48840349,48863555
383,23201,Un,13515491,13538691,unknown,Un,49064863,49088063
375,23192,Un,13539692,13562883,unknown,Un,48864556,48887747
381,22882,Un,13563884,13586765,unknown,Un,49014827,49037708
388,22715,Un,13587766,13610480,unknown,Un,49208534,49231248
385,22640,Un,13611481,13634120,unknown,Un,49112679,49135318
384,22615,Un,13635121,13657735,unknown,Un,49089064,49111678
439,22604,Un,13658736,13681339,unknown,Un,50331895,50354498
389,22600,Un,13682340,13704939,unknown,Un,49232249,49254848
386,22463,Un,13705940,13728402,unknown,Un,49136319,49158781
420,22374,Un,13729403,13751776,unknown,Un,49932291,49954664
406,22335,Un,13752777,13775111,unknown,Un,49624833,49647167
433,22029,Un,13776112,13798140,unknown,Un,50208623,50230651
396,22001,Un,13799141,13821141,unknown,Un,49396099,49418099
390,21969,Un,13822142,13844110,unknown,Un,49255849,49277817
425,21819,Un,13845111,13866929,unknown,Un,50039856,50061674
392,21752,Un,13867930,13889681,unknown,Un,49301532,49323283
391,21714,Un,13890682,13912395,unknown,Un,49278818,49300531
411,21643,Un,13913396,13935038,unknown,Un,49736664,49758306
393,21641,Un,13936039,13957679,unknown,Un,49324284,49345924
395,21597,Un,13958680,13980276,unknown,Un,49373502,49395098
397,21478,Un,13981277,14002754,unknown,Un,49419100,49440577
414,21471,Un,14003755,14025225,unknown,Un,49803316,49824786
412,21467,Un,14026226,14047692,unknown,Un,49759307,49780773
409,21426,Un,14048693,14070118,unknown,Un,49692235,49713660
400,21375,Un,14071119,14092493,unknown,Un,49490184,49511558
399,21251,Un,14093494,14114744,unknown,Un,49467933,49489183
407,21212,Un,14115745,14136956,unknown,Un,49648168,49669379
402,21020,Un,14137957,14158976,unknown,Un,49537108,49558127
410,21003,Un,14159977,14180979,unknown,Un,49714661,49735663
404,20940,Un,14181980,14202919,unknown,Un,49581057,49601996
403,20929,Un,14203920,14224848,unknown,Un,49559128,49580056
408,20855,Un,14225849,14246703,unknown,Un,49670380,49691234
428,20855,Un,14247704,14268558,unknown,Un,50104045,50124899
405,20836,Un,14269559,14290394,unknown,Un,49602997,49623832
422,20613,Un,14291395,14312007,unknown,Un,49976658,49997270
413,20542,Un,14313008,14333549,unknown,Un,49781774,49802315
415,20388,Un,14334550,14354937,unknown,Un,49825787,49846174
416,20350,Un,14355938,14376287,unknown,Un,49847175,49867524
417,20294,Un,14377288,14397581,unknown,Un,49868525,49888818
418,20264,Un,14398582,14418845,unknown,Un,49889819,49910082
419,20208,Un,14419846,14440053,unknown,Un,49911083,49931290
431,20036,Un,14441054,14461089,unknown,Un,50167183,50187218
421,19993,Un,14462090,14482082,unknown,Un,49955665,49975657
424,19838,Un,14483083,14502920,unknown,Un,50019018,50038855
423,19747,Un,14503921,14523667,unknown,Un,49998271,50018017
430,19733,Un,14524668,14544400,unknown,Un,50146450,50166182
426,19720,Un,14545401,14565120,unknown,Un,50062675,50082394
427,19650,Un,14566121,14585770,unknown,Un,50083395,50103044
429,19550,Un,14586771,14606320,unknown,Un,50125900,50145449
437,19483,Un,14607321,14626803,unknown,Un,50291711,50311193
432,19404,Un,14627804,14647207,unknown,Un,50188219,50207622
434,19165,Un,14648208,14667372,unknown,Un,50231652,50250816
435,19078,Un,14668373,14687450,unknown,Un,50251817,50270894
436,18816,Un,14688451,14707266,unknown,Un,50271895,50290710
541,18766,Un,14708267,14727032,unknown,Un,52181530,52200295
452,18747,Un,14728033,14746779,unknown,Un,50600417,50619163
438,18701,Un,14747780,14766480,unknown,Un,50312194,50330894
451,18533,Un,14767481,14786013,unknown,Un,50580884,50599416
440,18468,Un,14787014,14805481,unknown,Un,50355499,50373966
441,18431,Un,14806482,14824912,unknown,Un,50374967,50393397
457,18408,Un,14825913,14844320,unknown,Un,50693995,50712402
442,18369,Un,14845321,14863689,unknown,Un,50394398,50412766
444,18119,Un,14864690,14882808,unknown,Un,50432848,50450966
448,18114,Un,14883809,14901922,unknown,Un,50489941,50508054
466,18111,Un,14902923,14921033,unknown,Un,50861313,50879423
443,18081,Un,14922034,14940114,unknown,Un,50413767,50431847
480,18073,Un,14941115,14959187,unknown,Un,51150724,51168796
471,18021,Un,14960188,14978208,unknown,Un,50953591,50971611
446,17995,Un,14979209,14997203,unknown,Un,50470946,50488940
467,17985,Un,14998204,15016188,unknown,Un,50880424,50898408
445,17979,Un,15017189,15035167,unknown,Un,50451967,50469945
447,17871,Un,15036168,15054038,unknown,9,19608295,19626165
462,17803,Un,15055039,15072841,unknown,Un,50787287,50805089
481,17731,Un,15073842,15091572,unknown,Un,51169797,51187527
450,17693,Un,15092573,15110265,unknown,Un,50562191,50579883
461,17664,Un,15111266,15128929,unknown,Un,50768623,50786286
453,17602,Un,15129930,15147531,unknown,Un,50620164,50637765
562,17532,Un,15148532,15166063,unknown,Un,52543993,52561524
